index;expected;recognized;is_correct;best_distance;second_distance;confidence;top1;top2;top3;top4;top5
1;plus;plus;1;1.470796;2.288609;0.357341;plus:1.470796;5:2.288609;9:2.421970;3:2.450869;6:2.491190
2;7;7;1;1.525319;2.173549;0.298236;7:1.525319;3:2.173549;4:2.327654;2:2.337930;0:2.348529
3;9;3;0;2.17965;2.194095;0.006583;3:2.179650;5:2.194095;7:2.236384;9:2.317366;0:2.388855
4;1;1;1;1.720025;2.160943;0.20404;1:1.720025;7:2.160943;3:2.197112;4:2.334714;2:2.419965
5;7;7;1;1.886484;2.118529;0.109531;7:1.886484;1:2.118529;3:2.174473;2:2.312310;0:2.383919
6;8;8;1;1.742998;2.224526;0.216464;8:1.742998;7:2.224526;1:2.308172;3:2.400834;4:2.528694
7;6;6;1;1.888228;2.23389;0.154735;6:1.888228;7:2.233890;9:2.256849;3:2.279881;5:2.327215
8;4;4;1;1.771263;2.040286;0.131856;4:1.771263;7:2.040286;3:2.097290;2:2.349161;1:2.364804
9;5;5;1;2.082905;2.625396;0.206632;5:2.082905;plus:2.625396;1:2.678539;3:2.681801;0:2.763640
10;4;4;1;1.65407;2.165553;0.236191;4:1.654070;7:2.165553;3:2.281677;2:2.330602;1:2.420480
11;4;4;1;1.522271;2.315151;0.342474;4:1.522271;7:2.315151;2:2.354365;3:2.365770;9:2.463953
12;1;1;1;1.718925;2.419854;0.289657;1:1.718925;3:2.419854;plus:2.642795;5:2.647797;8:2.695503
