index;expected;recognized;best_similarity;is_correct;top1_symbol;top1_similarity;top2_symbol;top2_similarity;top3_symbol;top3_similarity;top4_symbol;top4_similarity;top5_symbol;top5_similarity
1;с;с;0.979492;1;с;0.979492;в;0.969985;б;0.957286;ю;0.953857;е;0.948263
2;ә;ә;0.98868;1;ә;0.98868;ө;0.986347;а;0.971578;д;0.96941;е;0.962608
3;у;у;0.984288;1;у;0.984288;ү;0.93987;ұ;0.935765;ж;0.932407;е;0.927534
4;л;л;0.992637;1;л;0.992637;я;0.966234;д;0.945643;э;0.937386;о;0.933749
5;е;е;0.992338;1;е;0.992338;б;0.977708;ө;0.972254;ә;0.968151;ю;0.959351
6;м;м;0.994243;1;м;0.994243;и;0.975758;ц;0.96673;ю;0.962286;щ;0.955731
7;м;м;0.994243;1;м;0.994243;и;0.975758;ц;0.96673;ю;0.962286;щ;0.955731
8;е;е;0.992338;1;е;0.992338;б;0.977708;ө;0.972254;ә;0.968151;ю;0.959351
9;н;н;0.977433;1;н;0.977433;и;0.963253;ц;0.945968;м;0.942459;і;0.927117
10;с;с;0.979492;1;с;0.979492;в;0.969985;б;0.957286;ю;0.953857;е;0.948263
11;е;е;0.992338;1;е;0.992338;б;0.977708;ө;0.972254;ә;0.968151;ю;0.959351
12;н;н;0.977433;1;н;0.977433;и;0.963253;ц;0.945968;м;0.942459;і;0.927117
13;і;і;0.993296;1;і;0.993296;м;0.953245;й;0.952801;и;0.950985;ы;0.946889
14;с;с;0.979492;1;с;0.979492;в;0.969985;б;0.957286;ю;0.953857;е;0.948263
15;ү;ү;0.971243;1;ү;0.971243;у;0.933771;ұ;0.92463;т;0.912408;ж;0.911867
16;й;й;0.988452;1;й;0.988452;ы;0.959354;і;0.956092;ш;0.944782;м;0.940193
17;е;е;0.992338;1;е;0.992338;б;0.977708;ө;0.972254;ә;0.968151;ю;0.959351
18;м;м;0.994243;1;м;0.994243;и;0.975758;ц;0.96673;ю;0.962286;щ;0.955731
19;і;і;0.993296;1;і;0.993296;м;0.953245;й;0.952801;и;0.950985;ы;0.946889
20;н;н;0.977433;1;н;0.977433;и;0.963253;ц;0.945968;м;0.942459;і;0.927117
