index;expected;recognized;best_similarity;is_correct;top1_symbol;top1_similarity;top2_symbol;top2_similarity;top3_symbol;top3_similarity;top4_symbol;top4_similarity;top5_symbol;top5_similarity
1;с;с;0.987279;1;с;0.987279;в;0.970954;б;0.951856;ю;0.950048;к;0.943442
2;ә;ә;0.988672;1;ә;0.988672;ө;0.983174;д;0.972878;о;0.972601;а;0.970871
3;у;у;0.962845;1;у;0.962845;ж;0.94189;е;0.94164;ү;0.94106;ұ;0.93952
4;л;л;0.983489;1;л;0.983489;я;0.971469;д;0.954112;э;0.947162;о;0.943974
5;е;е;0.986455;1;е;0.986455;б;0.982802;ю;0.968035;в;0.967167;ө;0.964548
6;м;м;0.974495;1;м;0.974495;і;0.960944;ю;0.956857;и;0.95664;б;0.951577
7;м;м;0.974495;1;м;0.974495;і;0.960944;ю;0.956857;и;0.95664;б;0.951577
8;е;е;0.986455;1;е;0.986455;б;0.982802;ю;0.968035;в;0.967167;ө;0.964548
9;н;и;0.990194;0;и;0.990194;м;0.974195;н;0.967272;ц;0.956987;і;0.947599
10;с;с;0.987279;1;с;0.987279;в;0.970954;б;0.951856;ю;0.950048;к;0.943442
11;е;е;0.986455;1;е;0.986455;б;0.982802;ю;0.968035;в;0.967167;ө;0.964548
12;н;и;0.990194;0;и;0.990194;м;0.974195;н;0.967272;ц;0.956987;і;0.947599
13;і;і;0.990476;1;і;0.990476;й;0.960485;ы;0.957779;ш;0.948144;м;0.942208
14;с;с;0.987279;1;с;0.987279;в;0.970954;б;0.951856;ю;0.950048;к;0.943442
15;ү;ү;0.966161;1;ү;0.966161;у;0.941233;ұ;0.940745;ж;0.933271;ө;0.926999
16;й;й;0.976777;1;й;0.976777;і;0.957619;ё;0.950536;ы;0.94929;ш;0.941842
17;е;е;0.986455;1;е;0.986455;б;0.982802;ю;0.968035;в;0.967167;ө;0.964548
18;м;м;0.974495;1;м;0.974495;і;0.960944;ю;0.956857;и;0.95664;б;0.951577
19;і;і;0.990476;1;і;0.990476;й;0.960485;ы;0.957779;ш;0.948144;м;0.942208
20;н;и;0.990194;0;и;0.990194;м;0.974195;н;0.967272;ц;0.956987;і;0.947599
