rank;time_start_s;time_end_s;freq_start_hz;freq_end_hz;time_center_s;freq_center_hz;energy;energy_db_relative
1;1.6;1.7;400.0;450.0;1.65;425.0;1041358.735349;0.0
2;1.5;1.6;400.0;450.0;1.55;425.0;923664.643831;-0.521
3;1.7;1.8;400.0;450.0;1.75;425.0;787794.454576;-1.212
4;1.8;1.9;400.0;450.0;1.85;425.0;602324.942869;-2.378
5;1.9;2.0;400.0;450.0;1.95;425.0;379766.884953;-4.381
6;2.0;2.1;400.0;450.0;2.05;425.0;376859.761823;-4.414
7;2.1;2.2;400.0;450.0;2.15;425.0;292564.002396;-5.514
8;2.2;2.3;400.0;450.0;2.25;425.0;186603.629953;-7.467
9;2.3;2.4;400.0;450.0;2.35;425.0;186103.409473;-7.478
10;1.6;1.7;850.0;900.0;1.65;875.0;151559.154342;-8.37
11;1.5;1.6;850.0;900.0;1.55;875.0;146801.063603;-8.509
12;2.4;2.5;400.0;450.0;2.45;425.0;145040.491336;-8.561
